"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","90/1526","327/27621",3.09961319524092e-38,2.78655226252159e-35,2.28718826301462e-35,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/Q6NUK1/P12236/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P22090/Q9Y3D9/P05141/Q8TD47/Q9BYD6/Q9Y2R5/P62424/P51398/P62266/O75746/P46778/P84098/Q9H936/Q9UJS0/O95182/P62280/Q16540/Q6P1L8/P12235/Q9NP92/P46779/P52815/Q7Z7H8/Q9NRX2/Q9Y3B7/P62906/Q13405/Q13084/Q9BYD3/Q02978/P49406/Q9H0C2/P82650/Q92665/P82933",90
"GO:0003924","GO:0003924","GTPase activity","85/1526","401/27621",2.77635101169288e-27,1.24796977975595e-24,1.02432739957722e-24,"P07437/P68371/P68104/P61019/P68363/Q71U36/Q15907/P04350/Q13885/Q9BVA1/Q9NP72/P61224/P51149/P62834/Q9BQE3/Q13509/Q9BUF5/Q13748/Q6PEY2/P51148/P04899/P13639/P62491/P62873/O00571/P60953/P49411/P68366/Q05639/Q6DD88/P62879/P20340/P61586/P62820/P08754/P61106/Q9NY65/Q9UHD8/Q9UL25/Q9NRW1/P63096/O00194/P10301/Q3ZCM7/P20337/P15153/P60763/P63000/P62745/P50570/P61204/P62826/P84077/Q9Y6B6/P18085/P84085/P20339/P51159/P61020/Q13636/Q9UL26/Q15029/Q9H0N0/Q9BVP2/P16520/P61006/P61026/O00429/P61011/P11488/P09471/P19087/P38405/Q13823/A8MTJ3/P63092/Q9H4B7/P55010/Q8IXI1/O60313/Q5JWF2/P08240/Q9BZE4/Q9UQ16/O60841",85
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","53/1526","185/27621",6.48978861346172e-24,1.94477332116736e-21,1.59626028703041e-21,"P08670/P07437/P08727/P60709/P61158/P63261/P68371/P68133/P68363/Q71U36/P04350/Q13885/Q9BVA1/Q9BQE3/Q13509/Q9BUF5/Q13748/Q6PEY2/P26038/O15145/Q01082/P68366/Q13813/P59998/P61160/O15144/Q9NY65/O15511/O15143/Q3ZCM7/P19012/Q04695/Q9Y490/P09493/P02533/P08779/P17661/P04259/Q9NSB2/P26232/P13647/Q9H4B7/Q15323/P35900/P14136/Q16352/O15020/P07196/P35908/P11277/P12036/P07197/Q9Y4G6",53
"GO:0051082","GO:0051082","unfolded protein binding","47/1526","185/27621",5.27506885162082e-19,1.18557172440178e-16,9.73111385522683e-17,"P10809/P68371/P23284/P50454/P11021/P38646/P11142/P14625/P27824/P27797/P78371/O14656/P40227/P06748/Q99832/Q9HAV7/Q9UDY4/P50990/P49368/P50991/O75494/P62937/Q15388/P08238/P17987/P49257/Q9UBS4/P0DMV8/P0DMV9/P48643/P17066/Q12931/P54652/P07900/P61604/Q9NYU2/P25685/P34931/O75190/Q8WXF0/Q9Y230/O60884/P30533/Q96EY1/Q92526/Q96DZ1/Q9Y4W6",47
"GO:0003729","GO:0003729","mRNA binding","59/1526","301/27621",1.30355670973196e-17,2.34379496409806e-15,1.92377527057285e-15,"P22626/P62854/Q15365/P23396/P61978/Q14103/O43809/O00571/P27797/P67809/P46782/P62263/Q07021/P51991/Q13283/Q15717/P07910/Q13148/P19338/O60506/P08621/P84103/O43390/P15880/P62277/P42766/P60842/Q92945/Q9NZI8/Q14011/Q07955/Q99729/Q8NC51/Q9BWF3/P38159/Q9Y6M1/P16989/Q96QR8/Q08257/Q16630/Q15287/Q12849/P49756/O00425/Q6XE24/Q9Y2T7/Q12926/Q9Y383/Q15397/Q92879/Q12996/P26378/Q08170/P38919/P05455/Q6PKG0/Q8TB72/Q14671/P12270",59
"GO:0019843","GO:0019843","rRNA binding","27/1526","74/27621",8.32193555973734e-16,1.24690334470065e-13,1.02345207497822e-13,"P62269/P30050/P62701/P23396/P13639/P46782/P62829/P62263/P62750/P62913/P62917/P19338/P62277/P46777/P22090/Q14011/Q8TD47/Q9Y2R5/Q6NZI2/Q9Y3A5/P62280/Q9NR30/Q9Y3B7/Q9H7B2/Q16762/O75616/Q96EY7",27
"GO:0019003","GO:0019003","GDP binding","29/1526","91/27621",4.51490550219887e-15,5.79842863782398e-13,4.75932143916001e-13,"P61019/Q15907/Q9NP72/P61224/P51149/P51148/P08754/P61106/Q9UL25/P63096/O00194/P10301/P20337/Q9Y6G9/P61225/P62745/P62826/P84077/P20339/P51159/P61020/Q13636/Q9UL26/P61006/P61026/P61011/P11488/P11908/P60891",29
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","35/1526","152/27621",3.8354890589123e-13,4.31013082995269e-11,3.53773398723358e-11,"P08865/P11021/P61978/P13639/O00571/P62136/P98179/Q07021/Q9Y5M8/P63241/P06748/Q3ZCQ8/P49458/Q00839/P04844/Q6IS14/Q9GZV4/P62495/Q9Y3A5/O76094/P15531/P56537/Q9UHB9/Q9Y2T7/P61011/P61619/P38919/Q9NTK5/O75616/Q8WWY3/P08240/Q96EY7/Q8NE71/Q9BXJ9/O94906",35
"GO:0070717","GO:0070717","poly-purine tract binding","14/1526","32/27621",4.28432843040402e-10,4.27956806548135e-08,3.5126482218868e-08,"O00571/P11940/Q92499/O60506/Q13310/Q00839/Q9H361/O14979/Q07666/P31483/Q5VWX1/Q6PJT7/P38919/Q8TCS8",14
"GO:0003730","GO:0003730","mRNA 3'-UTR binding","25/1526","108/27621",7.59303465082558e-10,6.8261381510922e-08,5.60286030550393e-08,"P22626/P61978/Q14103/Q15717/P07910/Q13148/O60506/O43390/Q92945/Q9NZI8/Q14011/Q8NC51/Q9BWF3/Q9Y6M1/P16989/Q08257/Q15287/O00425/Q6XE24/Q9Y2T7/Q12926/P26378/Q6PKG0/Q8TB72/Q14671",25
