"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006413","GO:0006413","translational initiation","121/1513","437/27563",8.60359125184656e-52,4.62529065699271e-48,4.07085712390003e-48,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/O00571/P46782/P62136/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/P11940/P18621/P46776/P62249/P62910/P46783/P06748/P62750/P62913/P62987/P62917/Q92499/P61247/Q02878/O15523/P41567/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P60842/P83881/Q14240/P22090/P04792/Q9Y3D9/P06730/Q9BYD6/Q9Y2R5/P62424/P51398/P62266/Q9BWF3/P46778/P84098/Q04637/O14602/P47813/P62280/Q16540/Q6P1L8/Q9NP92/P60228/P46779/P52815/Q13217/Q8N5N7/Q9H9J2/Q9NQ50/Q13347/P56537/Q07666/Q96GC5/P19525/Q7Z7H8/Q9NRX2/Q9Y3B7/Q92552/P62906/Q13405/Q9Y2Q9/O00303/Q13084/Q9BYD3/P78344/A6NMX2/P49406/Q96DV4/Q9NYK5/P82650/P55010/Q92665/P82933/Q14152/Q6PKG0/Q09161/Q96EY7/P12270/Q8NE71/B5ME19/Q99613/O60841",121
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","80/1513","188/27563",1.81028513312811e-50,3.54333078358173e-47,3.11859176695643e-47,"P62269/P05387/P05388/P35268/P62854/P83731/P39656/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P51571/P62829/P04843/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/Q9Y5M8/P09132/P37108/P46776/P61009/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P43307/P46777/P47914/P49207/P50914/P83881/P22090/P49458/Q9UNL2/P62424/P04844/P62266/P46778/P84098/P62280/O76094/P46779/P67812/Q9UHB9/P62906/P61026/P61011/Q99442/P61619/P08240/Q9UPN3",80
"GO:0045047","GO:0045047","protein targeting to ER","79/1513","183/27563",1.97730512476659e-50,3.54333078358173e-47,3.11859176695643e-47,"P62269/P05387/P05388/P35268/P62854/P83731/P39656/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P51571/P62829/P04843/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/Q9Y5M8/P09132/P37108/P46776/P61009/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P43307/P46777/P47914/P49207/P50914/P83881/P22090/P49458/Q9UNL2/P62424/P04844/P62266/P46778/P84098/P62280/O76094/P46779/P67812/Q9UHB9/P62906/P61011/Q99442/P61619/P08240/Q9UPN3",79
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","78/1513","181/27563",9.82440845093548e-50,1.32040049580573e-46,1.16212410491987e-46,"P62269/P05387/P05388/P35268/P62854/P83731/P39656/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P51571/P62829/P04843/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/Q9Y5M8/P09132/P37108/P46776/P61009/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P43307/P46777/P47914/P49207/P50914/P83881/P22090/P49458/Q9UNL2/P62424/P04844/P62266/P46778/P84098/P62280/O76094/P46779/P67812/Q9UHB9/P62906/P61011/Q99442/P61619/P08240",78
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","84/1513","214/27563",1.48989513003469e-49,1.57110169282367e-46,1.38277375259289e-46,"P62269/P05387/P05388/P35268/P62854/P83731/P39656/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P30101/P11021/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P51571/P62829/P04843/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/Q9Y5M8/P09132/P37108/P46776/P61009/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P43307/P46777/P47914/P49207/P50914/P83881/P22090/P49458/Q9UNL2/P62424/Q9P0L0/P04844/P62266/P46778/P84098/P62280/O76094/P46779/P67812/Q9UHB9/P62906/P61026/P61011/Q99442/P61619/P08240/Q9UPN3/Q92538",84
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","77/1513","177/27563",1.7534617107407e-49,1.57110169282367e-46,1.38277375259289e-46,"P62269/P05387/P05388/P35268/P62854/P83731/P39656/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P51571/P62829/P04843/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/Q9Y5M8/P09132/P37108/P46776/P61009/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P43307/P46777/P47914/P49207/P50914/P83881/P22090/P49458/Q9UNL2/P62424/P04844/P62266/P46778/P84098/P62280/O76094/P46779/P67812/Q9UHB9/P62906/P61011/P61619/P08240",77
"GO:0006414","GO:0006414","translational elongation","101/1513","322/27563",8.27076182805362e-49,6.35194508394518e-46,5.59053750633098e-46,"P62269/P05387/P05388/P35268/P62854/P83731/P68104/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P13639/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/P49411/Q05639/P18621/P46776/P62249/P62910/P63241/P46783/P62750/P62913/P62987/P26641/P62917/P61247/Q02878/P24534/P29692/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/Q9Y3D9/P49458/Q9BYD6/Q9Y2R5/P62424/P51398/P62266/Q6IS14/Q9GZV4/P46778/P84098/P62280/Q16540/Q6P1L8/Q9NP92/P46779/P52815/Q8N5N7/Q9H9J2/Q9NQ50/Q9NSE4/Q96GC5/Q7Z7H8/Q9NRX2/Q9Y3B7/Q92552/P62906/Q13405/Q9Y2Q9/Q13084/Q9BYD3/P49406/Q96DV4/Q9NYK5/P38919/P82650/Q92665/P82933/Q96EY7",101
"GO:0006415","GO:0006415","translational termination","92/1513","278/27563",9.37876277712161e-47,6.30252858622572e-44,5.5470445635739e-44,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/P18621/P46776/P62249/P62910/P63241/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/Q9Y3D9/Q9BYD6/Q9Y2R5/P62424/P51398/P62266/Q6IS14/Q9GZV4/P46778/P62495/P84098/P62280/Q16540/Q6P1L8/Q9NP92/P46779/P52815/Q8N5N7/Q9H9J2/Q9NQ50/Q96GC5/Q7Z7H8/Q9NRX2/Q9Y3B7/Q92552/P62906/Q13405/Q9Y2Q9/Q13084/Q9BYD3/P49406/Q96DV4/Q9NYK5/P82650/Q92665/P82933/Q96EY7",92
"GO:0043624","GO:0043624","cellular protein complex disassembly","114/1513","470/27563",1.45252060956501e-42,8.67638977446832e-40,7.63635104092949e-40,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P11142/P39019/P60866/P62851/P62857/Q01082/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/Q8IXM3/Q13813/P18621/P46776/P52907/P62249/P62910/P63241/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/Q9H299/P15880/P62081/P62277/P62979/Q12797/P35241/P23528/P42766/P46777/P47914/P49207/P50914/P83881/P22090/Q9UHB6/Q9Y281/Q9Y3D9/P54920/Q9BYD6/Q9Y2R5/P47755/P62424/P51398/P62266/Q6IS14/Q9GZV4/P46778/P62495/P84098/Q9Y3A5/P62280/Q16540/Q6P1L8/P35609/Q9NP92/P46779/P52815/Q8N5N7/Q9H9J2/Q9NQ50/P35611/Q96GC5/Q7Z7H8/Q9NRX2/Q9Y3B7/Q92552/P62906/Q13405/Q9Y2Q9/Q13084/Q9BYD3/P48681/P06396/P49406/Q96DV4/Q9NYK5/Q9NYL9/P82650/Q92665/P82933/O15020/Q9H2D6/Q96EY7/P11277/P78559",114
"GO:0016259","GO:0016259","selenocysteine metabolic process","61/1513","144/27563",1.33322546297834e-38,7.16742008897155e-36,6.30826153272383e-36,"P62269/P05387/P05388/P35268/P62854/P83731/P30050/P61254/P25398/P05386/P08865/P62241/P62701/P62753/P62888/P23396/P62244/P39019/P60866/P62851/P62857/Q9UNX3/P46782/P62829/P26373/P62263/P62841/P62847/P62899/P63220/Q02543/P18621/P46776/P62249/P62910/P46783/P62750/P62913/P62987/P62917/P61247/Q02878/P15880/P62081/P62277/P62979/P42766/P46777/P47914/P49207/P50914/P83881/P22090/P62424/P62266/P46778/P84098/P62280/P46779/P62906/P38919",61
