protein id	EMPAI
sp|P62805|H4_HUMAN	0.012114143
sp|P08670|VIME_HUMAN	0.0064838817
sp|P05787|K2C8_HUMAN	0.0054920386
sp|Q16777|H2A2C_HUMAN	0.0049016369
sp|Q9BTM1|H2AJ_HUMAN	0.0049016369
sp|P07437|TBB5_HUMAN	0.0041209431
sp|P08727|K1C19_HUMAN	0.0040878737
sp|P63244|GBLP_HUMAN	0.0039015661
sp|P07355|ANXA2_HUMAN	0.0038108223
sp|P62269|RS18_HUMAN	0.0038108223
sp|P04908|H2A1B_HUMAN	0.0036713846
sp|P0C0S8|H2A1_HUMAN	0.0036713846
sp|P20671|H2A1D_HUMAN	0.0036713846
sp|Q6FI13|H2A2A_HUMAN	0.0036713846
sp|Q7L7L0|H2A3_HUMAN	0.0036713846
sp|Q8IUE6|H2A2B_HUMAN	0.0036713846
sp|Q93077|H2A1C_HUMAN	0.0036713846
sp|Q96KK5|H2A1H_HUMAN	0.0036713846
sp|Q96QV6|H2A1A_HUMAN	0.0036713846
sp|Q99878|H2A1J_HUMAN	0.0036713846
sp|P60709|ACTB_HUMAN	0.0036001373
sp|P61158|ARP3_HUMAN	0.0036001373
sp|P63261|ACTG_HUMAN	0.0036001373
sp|P09382|LEG1_HUMAN	0.0034913146
sp|P10809|CH60_HUMAN	0.0034913146
sp|P05783|K1C18_HUMAN	0.0032500215
sp|P22626|ROA2_HUMAN	0.0031763532
sp|P68371|TBB4B_HUMAN	0.0031289456
sp|P02545|LMNA_HUMAN	0.0030207641
sp|P05387|RLA2_HUMAN	0.0029104601
sp|P05388|RLA0_HUMAN	0.0029104601
sp|P0C0S5|H2AZ_HUMAN	0.0029104601
sp|P23284|PPIB_HUMAN	0.0029104601
sp|P35232|PHB_HUMAN	0.0029104601
sp|P35268|RL22_HUMAN	0.0029104601
sp|P48047|ATPO_HUMAN	0.0029104601
sp|P62304|RUXE_HUMAN	0.0029104601
sp|P62854|RS26_HUMAN	0.0029104601
sp|P83731|RL24_HUMAN	0.0029104601
sp|Q71UI9|H2AV_HUMAN	0.0029104601
sp|Q96FQ6|S10AG_HUMAN	0.0029104601
sp|Q99714|HCD2_HUMAN	0.0029104601
